Datetime_UTC,Open,High,Low,Close,Volume,SMA_20,EMA_20,SMA_50,EMA_50,SMA_100,EMA_100,SMA_200,EMA_200,SMA_Golden_Cross,SMA_Death_Cross,SMA_Cross_Signal,EMA_Golden_Cross,EMA_Death_Cross,EMA_Cross_Signal,RSI_14,RSI_Signal,RSI_Crossover,STD_20,Upper_Band_20,Lower_Band_20,Daily_Return,Cumulative_Return,Volatility_14,Vol_Category,MACD,MACD_Signal,MACD_Histogram,High_Low_Spread,High_Low_Percent
2012-01-01 00:00:00+00:00,4.58,4.84,4.58,4.84,10.0,,4.84,,4.84,,4.84,,4.84,False,False,0,False,False,0,,Neutral,False,,,,,,,,0.0,0.0,0.0,0.2599999999999998,5.676855895196502
2012-01-02 00:00:00+00:00,4.84,5.0,4.84,5.0,10.1,,4.855238095238096,,4.846274509803922,,4.843168316831683,,4.841592039800995,False,False,0,True,False,1,,Neutral,False,,,,0.03305785123966953,1.0330578512396695,,,0.008000000000000007,0.0016000000000000016,0.0064000000000000055,0.16000000000000014,3.305785123966945
2012-01-03 00:00:00+00:00,5.0,5.32,5.0,5.29,107.08528092,,4.8966439909297055,,4.863675509419454,,4.85201646897363,,4.846053810549243,False,False,0,False,False,0,,Neutral,False,,,,0.05800000000000005,1.0929752066115703,,,0.029300000000000104,0.007140000000000023,0.022160000000000082,0.3200000000000003,6.400000000000006
2012-01-04 00:00:00+00:00,5.29,5.57,4.93,5.57,107.23326023000001,,4.960773134650686,,4.891374509050064,,4.866233964637518,,4.853257255220395,False,False,0,False,False,0,,Neutral,False,,,,0.05293005671077511,1.1508264462809918,,,0.061365000000000336,0.017985000000000088,0.04338000000000025,0.6400000000000006,12.981744421906704
2012-01-05 00:00:00+00:00,5.57,6.46,5.57,6.42,70.32874237,,5.099747121826811,,4.951320606734376,,4.897001608902121,,4.868846735267954,False,False,0,False,False,0,,Neutral,False,,,,0.1526032315978456,1.3264462809917357,,,0.13097375000000078,0.04058275000000022,0.09039100000000055,0.8899999999999997,15.97845601436265
2012-01-06 00:00:00+00:00,6.42,6.9,6.4,6.4,55.8558336,,5.223580729271877,,5.008131563333028,,4.926763953280297,,4.884082091135935,False,False,0,False,False,0,,Neutral,False,,,,-0.0031152647975076775,1.3223140495867771,,,0.18883436250000152,0.07023307250000049,0.11860129000000103,0.5,7.8125
2012-01-07 00:00:00+00:00,6.4,6.8,6.0,6.8,2.79585799,,5.37371589791265,,5.078400913790556,,4.963857736383657,,4.9031459509256266,False,False,0,False,False,0,,Neutral,False,,,,0.0625,1.4049586776859506,,,0.25736101437500114,0.10765866087500063,0.1497023535000005,0.7999999999999998,13.33333333333333
2012-01-08 00:00:00+00:00,6.8,6.9,6.8,6.9,4.0,,5.519076288587636,,5.14983617207328,,5.0021971871483375,,4.92301514544378,False,False,0,False,False,0,,Neutral,False,,,,0.014705882352941346,1.4256198347107443,,,0.3196644966562525,0.150059828031251,0.1696046686250015,0.10000000000000053,1.4705882352941255
2012-01-09 00:00:00+00:00,6.9,7.0,6.36,6.48,64.8693229,,5.610592832531671,,5.201999459442955,,5.031460609185004,,4.93850753205628,False,False,0,False,False,0,,Neutral,False,,,,-0.060869565217391286,1.338842975206612,,,0.3503356515234408,0.190114992729689,0.16022065879375183,0.6399999999999997,10.062893081761
2012-01-10 00:00:00+00:00,6.48,7.1,6.23,7.1,60.69194096,,5.752441134195322,,5.2764308531902895,,5.0724217852407465,,4.960014919797014,False,False,0,False,False,0,,Neutral,False,,,,0.095679012345679,1.466942148760331,,,0.40580781067726956,0.2332535563192051,0.17255425435806446,0.8699999999999992,13.964686998394852
